"ID","SubjectTag_S1","SubjectTag_S2","Generation","MultipleBirthIfSameSex","IsMz","Undecided","Related","Notes"
65,499002,499003,2,2,0,0,1,"1998-2008"
66,505201,505202,2,2,0,0,1,"1998-2004"
67,509801,509802,2,2,0,0,1,"Different Gender"
68,560501,560502,2,2,1,0,1,"1994-2008"
69,565901,565902,2,2,255,1,1,"Last mother response was 1993"
70,568502,568503,2,2,0,0,1,"Different Gender"
71,584003,584004,2,2,0,0,1,"Different Gender"
72,597305,597306,2,2,0,0,1,"Different Gender"
73,604604,604605,2,2,1,0,1,"1994-2006"
74,627002,627003,2,2,0,0,1,"1996-2008"
75,628301,628302,2,2,0,0,1,"Different Gender"
76,635302,635303,2,2,0,0,1,"Mostly DZ 1996-2008"
77,642902,642903,2,2,1,0,1,"Mostly MZ 1994-2004"
78,651603,651604,2,2,0,0,1,"Different Gender"
79,661301,661302,2,2,0,0,1,"Different Gender"
80,661402,661403,2,2,0,0,1,"Different Gender"
81,663901,663902,2,2,255,1,1,"Last mother response was 1990"
82,685401,685402,2,2,1,0,1,"1994-2008"
83,706502,706503,2,2,1,0,1,"MZ 1996-2008; DZ 1994"
84,711101,711102,2,2,255,1,1,"Last mother response was 1990"
85,716902,716903,2,2,0,0,1,"Different Gender"
86,724903,724904,2,2,0,0,1,"2000-2004"
87,744804,744805,2,2,0,0,1,"Mostly DZ 1994-2008 (MZ in 2000)"
88,750404,750405,2,2,0,0,1,"1996-2008"
89,760001,760002,2,2,0,0,1,"2000-2006"
90,767302,767303,2,2,0,0,1,"1996-2006"
91,780403,780404,2,2,0,0,1,"MZ 1994,2000-2006; DZ 1996-1998"
92,783103,783104,2,2,0,0,1,"Different Gender"
93,791406,791407,2,2,255,1,1,"Last mother response was 1990"
94,795803,795804,2,2,0,0,1,"Different Gender"
95,803105,803106,2,2,0,0,1,"Different Gender"
96,817405,817406,2,2,0,0,1,"DZ 1994, 2000, 2006, 2008; MZ 2002"
97,826402,826403,2,2,0,0,1,"Different Gender"
98,827304,827305,2,2,0,0,1,"Different Gender"
99,835904,835905,2,2,0,0,1,"1994-2006"
100,853001,853002,2,2,0,0,1,"Different Gender"
101,859804,859805,2,2,0,0,1,"1994-2008"
102,864902,864903,2,2,255,1,1,"Mother avoids the twin items"
103,886902,886903,2,2,1,0,1,"1994-2004"
104,896703,896704,2,2,1,0,1,"MZ 1994, 2000, 2008; DZ 2006"
105,918302,918303,2,2,0,0,1,"Different Gender"
106,923302,923303,2,2,0,0,1,"1994-20008"
107,930806,930807,2,2,0,0,1,"2004, 2008"
108,953601,953602,2,2,1,0,1,"1994-2006"
109,957602,957603,2,2,1,0,1,"2004-2008"
110,959601,959602,2,2,255,1,1,"Last mother response was 1990"
111,963202,963203,2,2,0,0,1,"1994-1998"
112,964101,964102,2,2,0,0,1,"2000-2008"
113,991301,991302,2,2,0,0,1,"1994-2004"
115,1001201,1001202,2,2,255,1,1,"Last mother response was 1990"
116,1015601,1015602,2,2,0,0,1,"Different Gender"
117,1019102,1019103,2,2,1,1,1,"mixed up answers (Watch out, mom had two sets of twins, but typically only one response)"
118,1019104,1019105,2,2,0,0,1,"Different Gender (Watch out, mom had two sets of twins, but typically only one response)"
119,1021103,1021104,2,2,0,0,1,"Different Gender"
120,1040101,1040102,2,2,0,0,1,"Different Gender"
121,1048403,1048404,2,2,0,0,1,"Different Gender"
122,1058202,1058203,2,2,0,0,1,"1994-2008"
123,1063402,1063403,2,2,1,0,1,"1994-2008"
124,1115501,1115502,2,2,0,0,1,"Different Gender"
125,1119103,1119104,2,2,255,1,1,"Last mother response was 1984"
126,1148601,1148602,2,2,255,1,1,"Last mother response was 1984"
127,1173301,1173302,2,2,255,1,1,"Last mother response was 1984"
128,1173901,1173902,2,2,255,1,1,"Last mother response was 1984"
129,1179802,1179803,2,2,1,0,1,"1994-2006"
130,1185904,1185905,2,2,0,0,1,"1996-2006"
131,1206601,1206602,2,2,1,0,1,"1994-2008"
132,1211303,1211304,2,2,0,0,1,"Different Gender"
133,1214601,1214602,2,2,0,0,1,"DZ 1994, 1998, 2006, 2008; MZ 2004"
134,1255403,1255404,2,2,0,0,1,"Different Gender"
135,1257402,1257403,2,2,255,1,1,"Last mother response was 1984"
136,890202,890203,2,2,0,0,1,"Different Gender"
141,30000,30100,1,0,0,0,1,"Missing in 1994; dob 4/15/1961 and 5/15/1961; Both say cousins in roster; neither acknowledge each other in 2006 biomom/dad items"
142,54000,54100,1,2,1,0,1,"Both say MZ in 1994; Both say brothers in roster; both say share biomom & biodad"
143,88600,88700,1,2,0,0,1,"88600 says not twins in 1994; 88700 says DZ in 1994; both say sisters in roster; both say share biomom & biodad"
145,98300,98400,1,0,0,0,0,"No twin listed in 1994; 98300 invalidly skipped roster, 98400 said OtherNonRelative; born in 1958-Dec and 1958-Nov; 98300 hasn't responded since 1984"
146,98300,98500,1,0,0,0,0,"No twin listed in 1994; Both invalidly skipped roster; didn't mention any siblings in 2006 biomom/dad items"
147,98400,98500,1,0,0,0,0,"No twin listed in 1994; Both invalidly skipped roster; didn't mention any siblings in 2006 biomom/dad items"
149,103900,104000,1,0,0,0,0,"No twin listed in 1994; Both invalidly skipped roster; born Jan 1960 and Dec 1959; 103900 doesn't acknowledge in 2006 biomom/dad items, 104000 hasn't responded since 2002"
152,110300,110400,1,2,255,1,1,"No twin listed in 1994; Both say sisters in roster; 110300 says share biomom&biodad; 110400 didn't answer 2006 & 2008 survey"
154,117800,117900,1,2,255,1,1,"No twin listed in 1994; Both say sisters in roster; both say share biomom & biodad"
155,157600,157700,1,2,1,0,1,"157700 says MZ in 1994, No twin listed for 157600; both say brothers in roster; 157700 says share biomom & biodad; 157600 didn't answer 2006 survey"
156,163500,163600,1,2,255,1,1,"No twin listed in 1994; Both say brothers in roster; both say share biomom & biodad"
158,233500,233600,1,0,0,0,NA,"No twin listed in 1994; both say sisters in roster; didn't acknowledge each other in 2006 biomom/biodad roster; born May 1957 and April 1957"
160,266900,267000,1,2,0,0,1,"Both say DZ in 1994; both say sisters in roster; both say share biomom & biodad"
161,282400,282500,1,2,0,0,1,"282400 says DZ in 1994, 282500 didn't list twins; both say sisters in roster; neither have responded since 1998 & 2000"
162,284600,284700,1,2,1,0,1,"284700 says MZ in 1994, 284600 didn't list twins; both say sisters in roster; 284700 says shares biomom & biodad, 284600 hasn't responded since 2000"
163,296700,296800,1,0,0,0,1,"No twin listed in 1994; both say sisters in roster; 296800 says share biom & biodad in 2006, 296700 hasn't responded since 1998; born Dec 1964 & Nov 1964"
164,300900,301000,1,2,0,0,1,"301000 say they're DZ trips (but only two sibs listed), 300900 didn't list twins;both say sisters in roster; 300900 says share biomom & biodad in 2006, 301000 didn't response to explicit items"
165,342800,342900,1,2,1,0,1,"Both say MZ in 1994; both say sisters in roster; both say share biomom & biodad"
167,345700,345800,1,2,1,0,1,"Both say MZ in 1994; both say sisters in roster; both say share biomom & biodad"
169,347300,347400,1,2,1,0,1,"Both say MZ in 1994; both say brothers in roster; 347300 says shares biomom & biodad in 2006, 347400 hasn't responded since 2002"
170,365700,365800,1,2,0,0,1,"Both say DZ in 1994; both say brothers in roster; both say share biomom & biodad"
171,410300,410500,1,2,0,0,1,"410500 says DZ in 1994, 410400 didn't list twin; both say brothers on roster; both says share biomom & biodad; (they're inconsistent about biomom/dad with their younger sister, 410400)"
173,422400,1205400,1,2,0,0,0,"No twin listed in 1994; both invalidly skipped roster; neither acknowledge each other in biomom/dad items; born Apr 1957 & Mar 1957; ID numbering is weird too. Geocode variables say they were born 14 days apart."
175,460500,460700,1,0,0,0,NA,"No twin listed in 1994; Both say cousins in roster; 460700 doesn't acknowledge in biomom/dad items, 460500 hasn't responded since 2004"
176,462500,462700,1,0,0,0,NA,"No twin listed in 1994; Both say cousins in roster; neither acknowledge each other in biomom/dad items; born Sept 1957 & Aug 1957"
178,468200,468300,1,0,0,0,NA,"No twin listed in 1994; Both say cousins in roster; neither acknowledge each other in biomom/dad items; born July 1957 & Aug 1957"
179,483000,483100,1,2,1,0,1,"Both say MZ in 1994; both say brothers in roster; both say share biomom & biodad"
180,496600,496700,1,2,1,0,1,"Both say MZ in 1994; both say sisters in roster; both say share biomom & biodad"
182,498800,498900,1,2,0,0,1,"Both say DZ in 1994; both say sisters in roster; both say share biomom & biodad"
183,541300,541400,1,2,255,1,1,"No twins listed in 1994 (didn't response to 1994 survey); both say brothers in roster; neither acknowledge each other in biomom/dad items (541300 answered 2006 survey); completed 2008 and 2010, respectively"
185,557000,557100,1,2,255,1,NA,"No twins listed in 1994;  both say sisters in roster; neither acknowledge each other in biomom/dad items; haven't responded since 1998 and 1993, respectively"
186,562100,562200,1,2,0,0,1,"Both say DZ in 1994; both say brothers in roster; both say share biomom & biodad; 562100 says share biomom & biodad, "
188,568600,568700,1,2,0,0,1,"Both say DZ in 1994; both say sisters in roster; both say share biomom & biodad"
189,572000,572100,1,2,255,1,NA,"No twins listed in 1994 (572100 didn't respond to 1994 or 2006 survey); both say sisters in roster; neither acknowledge each other in biomom/dad items (572100 answered 2006 survey)"
190,578500,578600,1,2,0,0,1,"5578600 says DZ in 1994 (578500 didn't respond to 1994 or 2006 survey); both say brothers in roster;  5578600 hasn't responded since 2004"
191,602000,602100,1,2,1,0,1,"602100 says MZ in 1994, 602000 didn't have a twin listed; both say brothers in roster; both say share biomom & biodad"
193,604200,604300,1,2,1,0,1,"604300 says MZ in 1994, 604200 didn't have a twin listed; both say sisters in roster; both say share biomom & biodad"
194,625800,625900,1,0,0,0,NA,"No twins listed in 1994; both say cousins in roster; neither acknowledge each other in biomom/dad items "
195,656000,656100,1,0,0,1,NA,"Both invalidly skipped roster; born Feb and Jan 1957; last surveys were 1990, so no twin or biomom/dad items"
196,656400,656700,1,0,0,0,0,"Both say OtherNonRelative in roster; born July and June 1957; last surveys were 1990, so no twin or biomom/dad items"
202,668300,668400,1,2,0,0,1,"668400 says DZ in 1994, and share biomom & biodad; both says sisters in roster;  668300 hasn't responded since 1989, so no twin or biomom/dad"
203,706900,707000,1,2,0,0,1,"706900 says DZ in 1994, no twin listed for 707000; both say brothers in roster; both say share biomom & biodad"
204,717800,718000,1,0,0,1,NA,"No twin listed in 1994; both say sisters in roster; neither acknowledged in biomom/dad items; born in April and May 1959; ID numbering skips too"
205,728200,728300,1,2,0,0,1,"Both say DZ in 1994; both say sisters in roster; both say share biomom & biodad"
206,733500,733600,1,0,0,1,1,"No twin listed in 1994; both say brothers in roster; 733600 says share biom & biodad, 733500 didn't respond in 2006; born in April and May 1958"
207,736500,736600,1,2,255,1,NA,"Both say brothers in roster; last surveys were 1990, so no twin or biomom/dad items"
208,756800,756900,1,2,0,0,1,"756800 says DZ in 1994, no twin listed for 756900; both say brothers in roster; both say share biomom & biodad"
209,767600,767700,1,2,1,0,1,"767600 says MZ in 1994, no twin listed for 767700; both say brothers in roster; both say share biomom & biodad"
210,771700,771800,1,2,255,1,1,"771700 says DZ, 771800 says MZ in 1994; both says brothers in roster; 771700 says shares biomom & biodad, 771800 hasn't responded since 2004"
212,774600,774700,1,0,0,0,0,"Both say OtherNonRelative in roster; neither has hasn't responded since 1990, so no twin or biomom/dad"
213,777100,777200,1,0,0,0,0,"777200 says OtherNonRelative in roster, other invalidly skipped; neither has hasn't responded since 1990, so no twin or biomom/dad; born July and August 1957"
214,786000,786100,1,2,255,1,1,"No twin listed in 1994; both say brothers in roster; both say share biomom& biodad"
215,812000,812100,1,0,0,0,0,"Both say OtherNonRelative in roster; born Jan and Feb 1957; neither acknowledged each other in 1994 twin items or 2006 biomom/dad items"
216,812000,812300,1,0,0,0,0,"Both say OtherNonRelative in roster; born Jan and March 1957; neither acknowledged each other in 1994 twin items or 2006 biomom/dad items"
217,812100,812300,1,0,0,0,0,"Both say OtherNonRelative in roster; born Feb and March 1957; neither acknowledged each other in 1994 twin items or 2006 biomom/dad items"
218,855700,855800,1,2,0,0,1,"855800 says DZ in 1994, no twin listed for 855700; both say sisters in roster; both say share biomom& biodad"
220,871600,871700,1,0,0,0,0,"Both say OtherNonRelative in roster; last surveys were 1990, so no twin or biomom/dad items; born Jan and Feb 1959"
221,880700,1223500,1,0,0,0,NA,"Both invalidly skip roster; last surveys were 1990, so no twin or biomom/dad items; born March and Feb 1960; ID numbering is weird"
222,883600,883700,1,2,255,1,1,"Both say brother in roster; last surveys were 1990, so no twin or biomom/dad items"
223,899200,899300,1,0,0,1,NA,"No twin listed in 1994; both say brother in roster; 899200 says shares both biomom & biodad, 899300 says shares neither biomom & biodad"
224,941000,941100,1,2,255,1,1,"Both say brother in roster; last surveys were 1990, so no twin or biomom/dad items"
225,944700,944900,1,0,0,0,0,"Both say OtherNonRelative in roster; last surveys were 1990, so no twin or biomom/dad items; born Apr and May 1957"
226,944800,945100,1,0,0,0,0,"Both say OtherNonRelative in roster; last surveys were 1990, so no twin or biomom/dad items"
227,950900,951100,1,0,0,1,NA,"950900 invalidly skipped roster, 951100 refused roster; last surveys were 1990, so no twin or biomom/dad items; born May and Apr 1960"
228,956200,956400,1,0,0,0,0,"Both say OtherNonRelative in roster; last surveys were 1983 & 1990, so no twin or biomom/dad items; born May and June 1959"
230,959200,959400,1,0,0,0,0,"Both say OtherNonRelative in roster; last surveys were 1990, so no twin or biomom/dad items; born May and June 1959"
231,971500,971600,1,0,0,0,0,"Both say OtherNonRelative in roster; last surveys were 1990, so no twin or biomom/dad items; born Aug and Sept 1958"
233,973700,973800,1,0,0,0,0,"Both say OtherNonRelative in roster; last surveys were 1990, so no twin or biomom/dad items"
234,989700,989800,1,2,0,0,1,"989700 says DZ in 1994 and share biomom & biodad in 2006; 989800 hasn't responded since 1993, so no twin or biomom/dad item; both say sisters on roster"
235,991100,991200,1,2,0,0,1,"991200 says DZ in 1994, 991100 didn't respond in 1994 ; both say brothers in roster; neither responded in 2006, so no biomom/dad item"
237,1008700,1008800,1,2,255,1,1,"Both say sister in roster; last surveys were 1990, so no twin or biomom/dad items"
238,1039300,1039500,1,0,0,0,0,"Both say OtherNonRelative in roster; last surveys were 1990, so no twin or biomom/dad items"
239,1200100,1200400,1,0,0,0,0,"No twin listed in 1994; Both say stepsister in roster; 1200400 didn't acknowledge other in biomom/dad items; 1200100 didn't respond in 2006; born Aug and July 1961"
240,1227200,1227300,1,0,0,0,0,"Both say sister in roster; last surveys were 1990, so no twin or biomom/dad items; born March and April 1957"
241,1232000,1232100,1,2,255,0,1,"Both say sister in roster; last surveys were 1990, so no twin or biomom/dad items"
243,598500,598600,1,2,255,1,1,"598500 says MZ, 598600 says DZ in 1994; both says sisters in roster; both say share biomom & biodad"
